year,emissions
1980,25.266664138894928
1981,24.889467179161663
1982,24.68149320010044
1983,25.34362706963742
1984,25.94512238517373
1985,26.30573628446545
1986,26.803401640676224
1987,27.328503126944977
1988,28.02736200868042
1989,28.374727581686116
1990,27.966719141263397
1991,28.681589129654974
1992,28.688840321545854
1993,28.363262281269847
1994,28.37668219888298
1995,28.81525236057045
1996,29.24804657240361
1997,32.092809751580184
1998,29.798196815477176
1999,29.18643353012279
2000,29.661880145240733
2001,29.01834354509752
2002,29.933395293838167
2003,30.509191367226617
2004,32.433491912222706
2005,33.41662985812852
2006,34.63186563025894
2007,35.352232803840074
2008,34.45121046720392
2009,34.22539114919836
2010,36.13383605886364
2011,37.26602925980261
2012,37.953911873262264
2013,38.7627110291811
2014,39.630948053948316
