year,emissions
2014,39.630948053948316
2015,39.15272629838611
2016,40.0646507516133
2017,40.97657520484048
2018,41.88849965806766
2019,42.80042411129484
2020,43.712348564522024
2021,44.87077203063555
2022,46.02919549674908
2023,47.18761896286261
2024,48.34604242897613
2025,49.50446589508967
2026,50.6628893612032
2027,51.821312827316724
2028,52.97973629343025
2029,54.13815975954379
2030,55.296583225657315
2031,56.64449472353306
2032,57.99240622140881
2033,59.34031771928455
2034,60.68822921716029
2035,62.036140715036034
2036,63.38405221291178
2037,64.73196371078753
2038,66.07987520866328
2039,67.42778670653902
2040,68.77569820441477
2041,70.22795037818672
2042,71.68020255195867
2043,73.13245472573064
2044,74.58470689950259
2045,76.03695907327456
2046,77.48921124704651
2047,78.94146342081848
2048,80.39371559459045
2049,81.84596776836239
2050,83.29821994213435
2051,85.0022585661078
2052,86.70629719008122
2053,88.41033581405465
2054,90.11437443802807
2055,91.81841306200151
2056,93.52245168597493
2057,95.22649030994836
2058,96.9305289339218
2059,98.63456755789522
2060,100.33860618186866
2061,101.98527049393418
2062,103.6319348059997
2063,105.27859911806522
2064,106.92526343013074
2065,108.57192774219628
2066,110.2185920542618
2067,111.86525636632732
2068,113.51192067839284
2069,115.15858499045837
2070,116.80524930252388
2071,118.0894278742136
2072,119.37360644590332
2073,120.65778501759304
2074,121.94196358928275
2075,123.22614216097247
2076,124.5103207326622
2077,125.7944993043519
2078,127.07867787604162
2079,128.36285644773136
2080,129.64703501942105
2081,129.73995539942106
2082,129.83287577942107
2083,129.92579615942108
2084,130.01871653942112
2085,130.11163691942113
2086,130.20455729942114
2087,130.29747767942115
2088,130.39039805942116
2089,130.48331843942117
2090,130.57623881942118
2091,130.14734590942118
2092,129.71845299942117
2093,129.28956008942117
2094,128.86066717942117
2095,128.43177426942114
2096,128.00288135942114
2097,127.57398844942114
2098,127.14509553942113
2099,126.71620262942113
